budget,revenue,original_title,director,keywords,runtime,genres,production_companies,vote_count,vote_average,release_year
15000000,36869414,Ex Machina,Alex Garland,dancing|artificial intelligence|helicopter|distrust|isolation,108,Drama|Science Fiction,DNA Films|Universal Pictures International (UPI)|Film4,2854,7.6,2015
88000000,243637091,Pixels,Chris Columbus,video game|nerd|alien attack|3d|pixels,105,Action|Comedy|Science Fiction,Columbia Pictures|Happy Madison Productions,1575,5.8,2015
280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,marvel comic|comic|sequel|superhero|vision,141,Action|Adventure|Science Fiction,Marvel Studios|Prime Focus|Revolution Sun Studios,4304,7.4,2015
44000000,155760117,The Hateful Eight,Quentin Tarantino,bounty hunter|wyoming|mountains|hangman|voice over narration,167,Crime|Drama|Mystery|Western,Double Feature Films|The Weinstein Company|FilmColony,2389,7.4,2015
48000000,325771424,Taken 3,Olivier Megaton,revenge|murder|on the run|fugitive|framed,109,Crime|Action|Thriller,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinÃ©+,1578,6.1,2015
130000000,518602163,Ant-Man,Peyton Reed,marvel comic|superhero|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe,115,Science Fiction|Action|Adventure,Marvel Studios,3779,7.0,2015
95000000,542351353,Cinderella,Kenneth Branagh,cinderella|magic|fairy tale|princess|shoe,112,Romance|Fantasy|Family|Drama,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,1495,6.8,2015
160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,revolution|strong woman|dystopia|game of death|3d,136,War|Adventure|Science Fiction,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,2380,6.5,2015
190000000,209035668,Tomorrowland,Brad Bird,inventor|apocalypse|destiny|imax|dreamer,130,Action|Family|Science Fiction|Adventure|Mystery,Walt Disney Pictures|Babieka|A113,1899,6.2,2015
30000000,91709827,Southpaw,Antoine Fuqua,sport,123,Action|Drama,Escape Artists|Riche-Ludwig Productions,1386,7.3,2015
110000000,470490832,San Andreas,Brad Peyton,california|earthquake|catastrophe|disaster film|3d,114,Action|Drama|Thriller,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,2060,6.1,2015
40000000,569651467,Fifty Shades of Grey,Sam Taylor-Johnson,based on novel|billionaire|bdsm|woman director|erotic movie,125,Drama|Romance,Focus Features|Trigger Street Productions|Michael De Luca Productions,1865,5.3,2015
28000000,133346506,The Big Short,Adam McKay,bank|fraud|biography|wall street|finances,130,Comedy|Drama,Paramount Pictures|Plan B Entertainment|Regency Enterprises,1545,7.3,2015
150000000,682330139,Mission: Impossible - Rogue Nation,Christopher McQuarrie,spy|sequel|mission,131,Action,Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions,2349,7.1,2015
68000000,215863606,Ted 2,Seth MacFarlane,sperm bank|sequel|buddy|courthouse|teddy bear,115,Comedy,Universal Pictures|Media Rights Capital|Fuzzy Door Productions,1666,6.3,2015
81000000,403802136,Kingsman: The Secret Service,Matthew Vaughn,spy|great britain|secret organization|secret agent|marvel comic,130,Crime|Comedy|Action|Adventure,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,3833,7.6,2015
20000000,88346473,Spotlight,Tom McCarthy,child abuse|journalism|judge|florida|boston,128,Drama|Thriller|History,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,1559,7.8,2015
61000000,311256926,Maze Runner: The Scorch Trials,Wes Ball,based on novel|resistance|maze|post-apocalyptic|dystopia,132,Action|Science Fiction|Thriller,Gotham Group|Temple Hill Entertainment|TSG Entertainment,1849,6.4,2015
0,29355203,Mr. Holmes,Bill Condon,london|detective|sherlock holmes,103,Mystery|Drama,BBC Films|See-Saw Films|FilmNation Entertainment|Archer Gray|AI-Film,425,6.4,2015
49000000,102069268,Chappie,Neill Blomkamp,artificial intelligence|android|robot|near future|robot cop,120,Crime|Action|Science Fiction,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,1990,6.6,2015
29000000,287506194,Pitch Perfect 2,Elizabeth Banks,music|sequel|singer|male female relationship|audition,115,Comedy|Music,Universal Pictures|Gold Circle Films|Brownstone Productions,1264,6.8,2015
40000000,162610473,Bridge of Spies,Steven Spielberg,spy|cia|cold war|pilot|lawyer,141,Thriller|Drama,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,1638,7.1,2015
58000000,150170815,Goosebumps,Rob Letterman,based on novel|magic|fantasy|family|3d,103,Adventure|Horror|Comedy,Columbia Pictures|Original Film|Scholastic Entertainment,600,6.2,2015
6000000,35401758,Room,Lenny Abrahamson,based on novel|carpet|isolation|imprisonment|grandparents,117,Drama|Thriller,Element Pictures|No Trace Camping|A24|Duperele Films,1520,8.0,2015
0,22354572,Solace,Afonso Poyart,thriller|serial killer|psychic|fbi agent|intrigue,101,Crime|Drama|Mystery,Eden Rock Media|FilmNation Entertainment|Flynn Picture Company,474,6.2,2015
175000000,331926147,The Good Dinosaur,Peter Sohn,tyrannosaurus rex|friends|animation|alternate history|dinosaur,93,Adventure|Animation|Comedy|Family|Fantasy,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,1087,6.6,2015
50000000,71561644,Run All Night,Jaume Collet-Serra,hitman|revenge|murder|on the run|mobster,114,Action|Crime|Drama|Mystery|Thriller,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,814,6.3,2015
11000000,62076141,Brooklyn,John Crowley,love triangle|based on novel|homesickness|vororte|ship,111,Drama|Romance,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,754,7.3,2015
28000000,201634991,Straight Outta Compton,F. Gary Gray,brother brother relationship|aids|police brutality|hip-hop|wife husband relationship,147,Drama|Music,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,918,7.7,2015
90000000,140396650,The Last Witch Hunter,Breck Eisner,new york|witch|uprising|witch hunter,106,Fantasy|Action|Adventure,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,879,5.6,2015
30000000,34441873,Steve Jobs,Danny Boyle,biography|computer|based on true story|father daughter relationship|apple computer,122,History|Drama,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,1035,6.9,2015
75000000,108145109,The Man from U.N.C.L.E.,Guy Ritchie,spy|cold war|remake|based on tv series|buddy cop,116,Comedy|Action|Adventure,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,1548,7.0,2015
25000000,42629776,The Age of Adaline,Lee Toland Krieger,san francisco|immortality|love|forever,112,Fantasy|Drama|Romance,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,1221,7.3,2015
10000000,14333790,Hardcore Henry,Ilya Naishuller,female nudity|cyborg|nudity|murder|gore,97,Action|Adventure|Science Fiction,Bazelevs Production|Versus Pictures,396,5.9,2015
135000000,368871007,Home,Tim Johnson,friendship|spaceship|space|alien|alien invasion,94,Fantasy|Comedy|Animation|Science Fiction|Family,Twentieth Century Fox Film Corporation|DreamWorks Animation,1060,6.9,2015
12000000,85512300,Paper Towns,Jake Schreier,friendship|high school|teen|classmate|based on young adult book,109,Drama|Mystery|Romance,Fox 2000 Pictures,1252,6.2,2015
30000000,0,Wild Card,Simon West,gambling|bodyguard|remake,92,Thriller|Crime|Drama,Current Entertainment|Lionsgate|Sierra / Affinity|SJ Heat Productions|Silver State Production Services,481,5.3,2015
4000000,9064511,The Lobster,Yorgos Lanthimos,dystopia,118,Thriller|Comedy|Drama|Romance|Science Fiction,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,638,6.6,2015
11800000,40272135,Carol,Todd Haynes,gay|new york|female nudity|chicago|sex,118,Romance|Drama,Killer Films|Film4|Number 9 Films,562,7.1,2015
35000000,194564672,The Intern,Nancy Meyers,intern|woman director,121,Comedy,Waverly Films|Warner Bros.,1255,7.1,2015
55000000,203427584,Everest,Baltasar KormÃ¡kur,mountains|snow storm|hiking|snow|death,121,Adventure|Drama,Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures,1172,6.7,2015
60000000,101134059,Joy,David O. Russell,biography,124,Comedy|Drama,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment,1001,6.4,2015
105000000,133718711,Point Break,Ericson Core,undercover|undercover agent|extreme sports|fbi agent|3d,114,Action|Crime|Thriller,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions,505,5.5,2015
20000000,36606743,Burnt,John Wells,london|cook|restaurant|diva|career,100,Drama,Double Feature Films|PeaPie Films|3 Arts Entertainment,631,6.3,2015
26000000,30523226,Self/less,Tarsem Singh,lie|immortality|terminal illness|laboratory|cancer,116,Science Fiction|Mystery|Thriller,Endgame Entertainment|Ram Bergman Productions,719,6.2,2015
60000000,30418560,Mortdecai,David Koepp,based on novel|painting|debt|art dealer|stolen painting,106,Comedy|Adventure,Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media,696,5.3,2015
15000000,64191523,The Danish Girl,Tom Hooper,paris|denmark|copenhagen|artist|art,120,Drama,Pretty Pictures|Working Title Films|ArtÃ©mis Productions|Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique|Taxshelter. be,867,7.3,2015
70000000,17752940,Blackhat,Michael Mann,terrorist|technology|anti hero|hacker|computer virus,133,Mystery|Crime|Action|Thriller|Drama,Universal Pictures|Forward Pass|Legendary Pictures,584,5.0,2015
30000000,84025816,Sicario,Denis Villeneuve,mexico|cia|smoking|texas|fbi,121,Action|Crime|Drama|Mystery|Thriller,Lionsgate|Thunder Road Pictures|Black Label Media,1479,7.1,2015
120000001,167977596,Fantastic Four,Josh Trank,teleportation|transformation|telekinesis|portal|marvel comic,100,Action|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC),1565,4.4,2015
3500000,40423945,The Witch,Robert Eggers,witch|new england|17th century,92,Mystery|Horror,Parts and Labor|RT Features|Rooks Nest Entertainment|Maiden Voyage Pictures|Pulse Films,700,5.8,2015
65000000,235666219,Spy,Paul Feig,spy|cia|undercover|arms dealer|disaster,120,Action|Comedy|Crime,Twentieth Century Fox Film Corporation|Chernin Entertainment|Feigco Entertainment,1840,6.9,2015
50100000,153962963,Focus,Glenn Ficarra|John Requa,seduction|con man|femme fatale|deception|con artist,105,Romance|Comedy|Crime|Drama,Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films,1831,6.7,2015
35000000,82347656,Hitman: Agent 47,Aleksander Bach,assassin|secret identity|intelligence|hitman|execution,96,Action|Crime|Thriller,Twentieth Century Fox Film Corporation|Fox International Productions|Infinite Frameworks Studios|TSG Entertainment,820,5.5,2015
100000000,93820758,In the Heart of the Sea,Ron Howard,suicide|ocean|sea|hunger|shipwreck,122,Thriller|Drama|Adventure|Action|History,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media,805,6.4,2015
20000000,0,Survivor,James McTeigue,new year's eve|fire|showdown|terrorist|embassy,96,Crime|Thriller|Action,Nu Image Films|Winkler Films|Millennium Films|Survivor Productions,280,5.4,2015
35000000,137935567,Creed,Ryan Coogler,underdog|sport|spin off|underground fighting|motivational speaker,133,Drama,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Chartoff-Winkler Productions,1171,7.3,2015
35000000,140795793,Trainwreck,Judd Apatow,alcohol|one-night stand,125,Comedy,Universal Pictures|Fuji Television Network|Dentsu|Apatow Productions,849,6.1,2015
13000000,32848185,Eye in the Sky,Gavin Hood,terrorist|drone|u.s. military|air force base|combat drone,102,Drama|Thriller|War,Entertainment One|Moonlighting Films|Raindog Films,265,7.2,2015
25000000,42972994,Legend,Brian Helgeland,biography|based on true story|gangster|twins,131,Crime|Thriller,Working Title Films|Cross Creek Pictures|Anton Capital Entertainment (ACE),619,6.7,2015
0,45895,Beyond the Reach,Jean-Baptiste LÃ©onetti,desert|hunting,95,Thriller,Furthur Films,81,5.5,2015
150000000,128388320,Pan,Joe Wright,flying|magic|fairy tale|peter pan|mermaid,111,Adventure|Family|Fantasy,Warner Bros.|Moving Picture Company (MPC)|Berlanti Productions|RatPac-Dune Entertainment,586,5.9,2015
0,0,Mythica: The Darkspore,Anne K. Black,sword|magic|sorcery|necromancer|woman director,108,Action|Adventure|Fantasy,Arrowstorm Entertainment,27,5.1,2015
0,0,Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,tattoo|high school|leukemia|friends|parody,105,Comedy|Drama,Indian Paintbrush,569,7.7,2015
99000000,246233113,The Peanuts Movie,Steve Martino,based on comic strip|family|3d|charlie brown|snoopy,88,Adventure|Animation|Comedy|Family,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment,414,6.4,2015
35000000,48623572,Concussion,Peter Landesman,american football|biography|professional sports|sports injury|nfl,123,Drama,Village Roadshow Pictures|Scott Free Productions|LStar Capital|The Cantillon Company|The Shuman Company,500,6.9,2015
25000000,52395996,The Night Before,Jonathan Levine,male friendship|new york city|drug|christmas eve|childhood friend,100,Comedy,Sony Pictures|Point Grey Pictures|Good Universe,363,6.1,2015
2500000,5214043,Knock Knock,Eli Roth,female nudity|sex|disc jockey|infidelity|rain,99,Drama|Horror|Thriller,Universum Film (UFA)|Dragonfly Entertainment|Black Bear Pictures|Square One Entertainment|Sobras International Pictures,473,4.8,2015
34000000,63013281,The Longest Ride,"George Tillman, Jr.",based on novel|art student|cowboys|injury|bull riding,128,Romance|Drama,Fox 2000 Pictures|Temple Hill Entertainment,711,7.3,2015
80000000,466183544,Hotel Transylvania 2,Genndy Tartakovsky,transylvania|hotel|witch|technology|magic,89,Animation|Comedy|Family,Columbia Pictures|Sony Pictures Animation,919,6.8,2015
17000000,24000000,Love the Coopers,Jessie Nelson,big family|family relationships|family|woman director|christmas,107,Family|Comedy,Imagine Entertainment|Groundswell Productions|CBS Films,111,5.3,2015
35000000,61181942,The Walk,Robert Zemeckis,1970s|skyscraper|based on true story|tightrope|planning,123,Adventure|Drama|Thriller,TriStar Pictures|Sony Pictures Entertainment|ImageMovers,706,6.8,2015
11000000,1863315,Tracers,Daniel Benmayor,chinese mafia|parkour|new york city|loan shark|young adult,94,Action|Crime|Drama,Temple Hill Entertainment|Senator Film|Freerunning|Melbarken|Saban Films,326,5.9,2015
31000000,104384188,Vacation,John Francis Daley|Jonathan M. Goldstein,route 66|grand canyon|cow|vacation|road trip,99,Adventure|Comedy,New Line Cinema|BenderSpink|David Dobkin Productions,846,6.1,2015
35000000,95437994,Poltergeist,Gil Kenan,poltergeist|haunted house|remake|duringcreditsstinger,93,Horror|Thriller,Ghost House Pictures|Vertigo Entertainment|Metro-Goldwyn-Mayer (MGM)|TSG Entertainment,589,5.0,2015
4000000,187112,Maggie,Henry Hobson,post-apocalyptic|dystopia|zombies,95,Horror,Lionsgate|Grindstone Entertainment Group|Silver Reel|Sly Predator|Matt Baer Films,384,5.1,2015
0,2000000,Equals,Drake Doremus,illustrator|sex scene|near future|infected|emotions,101,Drama|Romance|Science Fiction,Scott Free Productions|Infinite Frameworks Studios|Freedom Media|Route One Entertainment,135,5.6,2015
50000000,3324330,Child 44,Daniel Espinosa,murder|serial killer|military|chili|soviet union,137,Crime|Thriller,Summit Entertainment|Scott Free Productions|Worldview Entertainment,341,5.9,2015
5000000,58978653,The Gift,Joel Edgerton,detective|stalker|gift|bully|psychological thriller,108,Thriller|Mystery,Blumhouse Productions|Blue-Tongue Films|STX Entertainment|Ahimsa Films,631,6.6,2015
50000000,240360392,Daddy's Home,Sean Anders,daddys home,96,Comedy,Paramount Pictures|Gary Sanchez Productions|Good Universe|Red Granite Pictures,568,5.7,2015
0,0,Mythica: The Necromancer,A. Todd Smith,sword|magic|sorcery|necromancer,0,Fantasy|Action|Adventure,Arrowstorm Entertainment|Camera 40 Productions|Bellpond Films,11,5.4,2015
10000000,0,Vice,Brian A Miller,artificial intelligence|android|self-awareness|mercenary|virtual reality,96,Thriller|Science Fiction|Action|Adventure,Grindstone Entertainment Group|K5 International|Emmett/Furla Films|Aperture Entertainment,181,4.1,2015
64000000,97571250,The Little Prince,Mark Osborne,philosophy|utopia|airplane|adventure|dystopia,92,Adventure|Animation|Fantasy,Onyx Films|Orange Studios|CityMation|On Entertainment|Zippcast Films,423,7.5,2015
0,233755553,Alvin and the Chipmunks: The Road Chip,Walt Becker,chipmunk|cgi|talking animal|aftercreditsstinger|duringcreditsstinger,92,Adventure|Animation|Comedy|Family,Regency Enterprises|Fox 2000 Pictures|Sunswept Entertainment|Bagdasarian Productions|TSG Entertainment,278,5.7,2015
11930000,18340000,The Dressmaker,Jocelyn Moorhouse,based on novel|australia|dressmaker|hometown|woman director,118,Drama,Amazon Studios|Film Art Media|Apollo Media,197,6.9,2015
8500000,43528634,The DUFF,Ari Sandel,high school|teenager|popularity|high school senior|teen comedy,100,Romance|Comedy,Wonderland Sound and Vision|CBS Films|Vast Entertainment,753,6.8,2015
10000000,52882018,Sinister 2,Ciaran Foy,haunted house|sequel|twins,97,Horror,Alliance Films|Blumhouse Productions|IM Global|Automatik Entertainment|Entertainment One,331,5.5,2015
30000000,107597242,Paul Blart: Mall Cop 2,Andy Fickman,shopping mall|las vegas nevada|security guard,94,Action|Adventure|Comedy|Family,Columbia Pictures|Happy Madison Productions|Sony Pictures Releasing|Sony Pictures Home Entertainment|Sony Pictures Entertainment (SPE),422,5.3,2015
0,0,Frozen Fever,Chris Buck|Jennifer Lee,sister sister relationship|birthday|song|birthday party|flu,8,Adventure|Animation|Family,Walt Disney Pictures|Walt Disney Animation Studios,475,7.0,2015
0,0,High-Rise,Ben Wheatley,skyscraper|high rise,119,Action|Drama|Science Fiction,Ingenious Media|HanWay Films|Scope Pictures|Recorded Picture Company (RPC)|Northern Ireland Screen,161,5.4,2015
4000000,50163103,The Boy Next Door,Rob Cohen,male nudity|female nudity|sex|adultery|infidelity,91,Thriller,Universal Pictures|Nuyorican Productions|Blumhouse Productions|Smart Entertainment,810,3.9,2015
0,0,Spooks: The Greater Good,Bharat Nalluri,corruption|terrorist|explosive|police|kidnapping,104,Thriller|Action,BBC Films|Isle of Man Film|Shine Pictures|Kudos Film and Television|Pinewood Pictures,114,5.6,2015
30000000,49263404,Entourage,Doug Ellin,friendship|hollywood|movie star|entourage,104,Comedy,Warner Bros.|Closest to the Hole Productions,364,6.2,2015
23000000,79799880,The Wedding Ringer,Jeremy Garelick,male friendship|impersonator|wedding|lying|best man,101,Comedy,Miramax Films|Screen Gems|LStar Capital,446,6.5,2015
15000000,14860766,Scouts Guide to the Zombie Apocalypse,Christopher B. Landon,female nudity|shotgun|nudity|strip club|party,93,Comedy|Horror,Paramount Pictures|Oops Doughnuts Productions|Broken Road Productions|Brucks Entertainment,288,6.2,2015
5000000,98450062,The Visit,M. Night Shyamalan,rap|pennsylvania|brother sister relationship|farm|grandparents,94,Horror|Thriller,Blumhouse Productions|Blinding Edge Pictures,729,5.9,2015
53000000,99775678,Black Mass,Scott Cooper,boston|based on true story|organized crime,122,Crime|Drama,Infinitum Nihil|Head Gear Films|Cross Creek Pictures|Free State Pictures|RatPac-Dune Entertainment,848,6.3,2015
8900000,50136,Heist,Scott Mann,casino|robbery|bus hijacking|heist,93,Crime|Action|Thriller,Emmett/Furla Films|Silver Plane Films|Mass Hysteria Entertainment|Tri Vision Pictures,233,5.4,2015
15000000,61548707,Krampus,Michael Dougherty,fire|winter|santa claus|snow storm|christmas tree,98,Horror|Comedy|Fantasy,Universal Pictures|Legendary Pictures,342,5.9,2015
20000000,208588,Dark Places,Gilles Paquet-Brenner,prison|based on novel|brother sister relationship|satanism|witness,113,Drama|Mystery|Thriller,Denver and Delilah Productions|Mandalay Vision|Exclusive Media Group|Hugo Productions|Cuatro Plus Films,322,5.7,2015
5000000,54418872,No Escape,John Erick Dowdle,coup|american|family|foreign,103,Action|Thriller,Bold Films|Living Films|Brothers Dowdle Productions,519,6.7,2015
700000,17986781,Dope,Rick Famuyiwa,california|hip-hop|harvard university|geek|coming of age,103,Crime|Drama|Comedy,Forest Whitaker's Significant Productions|Revolt Films|IamOTHER Entertainment,448,7.3,2015
28000000,28208085,American Ultra,Nima Nourizadeh,memory loss|stoner|black ops,96,Comedy|Action,Concorde Filmverleih|Likely Story|FilmNation Entertainment|Circle of Confusion|The Bridge Finance Company,695,5.9,2015
11000000,61619773,Woman in Gold,Simon Curtis,nazis|art|stolen painting,120,Drama,BBC Films|Origin Pictures,277,7.3,2015
0,0,The Scorpion King: The Lost Throne,Mike Elliott,magic|fantasy|steampunk|dragon,105,Action|Fantasy|Adventure,Universal Pictures,22,4.5,2015
30000000,105011053,Sisters,Jason Moore,sister sister relationship|childhood home,118,Comedy,Little Stranger,399,5.9,2015
12000000,32248241,Project Almanac,Dean Israelite,time travel|time machine|teenager|found footage,106,Science Fiction|Thriller,Paramount Pictures|MTV Films|Platinum Dunes|Insurge Pictures,637,6.3,2015
0,5189646,Absolutely Anything,Terry Jones,london|alien|teacher|talking animal|super powers,85,Comedy|Science Fiction,Premiere Picture|Bill and Ben Productions|GFM films,199,5.8,2015
25000000,72629670,The Transporter Refueled,Camille Delamarre,transporter|sequel|suspense|car|bank heist,96,Thriller|Action|Crime,EuropaCorp,407,5.3,2015
55000000,74679822,Crimson Peak,Guillermo del Toro,haunted house|mining|murder|spitting blood|gothic,119,Mystery|Thriller|Fantasy|Horror|Drama,Legendary Pictures,819,6.4,2015
0,0,Everly,Joe Lynch,assassin|mob boss,90,Thriller|Action,"Crime Scene Pictures|Radius-TWC|Anonymous Content|Vega, Baby!",169,5.1,2015
14800000,122413057,Magic Mike XXL,Gregory Jacobs,male friendship|strip club|road trip|strip tease|strip,115,Comedy|Drama|Music,Warner Bros.|Iron Horse Entertainment (II),501,6.3,2015
10000000,78099553,Paranormal Activity: The Ghost Dimension,Gregory Plotkin,terror|supernatural|sequel|demon|found footage,88,Horror|Thriller,Paramount Pictures|Blumhouse Productions,267,5.0,2015
0,229094,Slow West,John Maclean,fire|bounty hunter|shotgun|horseback riding|horse,84,Romance|Thriller|Western,The New Zealand Film Commission|Film4|See Saw Films|DMC Films,229,6.6,2015
15000000,8235661,Trumbo,Jay Roach,screenwriter|communist|biography|film history|hollywood,124,Drama,Groundswell Productions|Inimitable Pictures|ShivHans Pictures,273,7.2,2015
19500000,32189727,Secret in Their Eyes,Billy Ray,fbi|missing child,111,Crime|Drama|Mystery,Ingenious Media|Gran Via Productions|IM Global|Route One Films,202,6.2,2015
0,2500431,Mistress America,Noah Baumbach,comedy,84,Comedy,RT Features,132,6.4,2015
74000000,311594032,The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,ocean|sea|star|water|comedy,93,Family|Animation,Paramount Pictures|Nickelodeon Movies|Nickelodeon Animation Studios|United Plankton Pictures|Disruption Entertainment,533,5.7,2015
20000000,43967255,Max,Boaz Yakin,afghanistan|war|based on true story|rescue|betrayal,111,Adventure|Drama|Family,Sunswept Entertainment|Warner Bros.|Metro-Goldwyn-Mayer (MGM),214,7.0,2015
0,59700000,Shaun the Sheep Movie,Mark Burton|Richard Starzack,countryside|sheep|based on tv series|memory loss|hospital,85,Family|Animation|Comedy|Adventure,Aardman Animations|Studio Canal|Anton Capital Entertainment (ACE),340,6.9,2015
11000000,0,Louder Than Bombs,Joachim Trier,usa|brother brother relationship|father-son relationship|car accident|death of mother,109,Drama,Motlys|Arte France CinÃ©ma|Animal Kingdom,43,6.3,2015
0,1702433,A Perfect Day,Fernando LeÃ³n de Aranoa,road movie,106,Comedy|Drama,Reposado Producciones|TelevisiÃ³n EspaÃ±ola (TVE)|Mediapro,102,6.3,2015
40000000,10664749,The Gunman,Pierre Morel,assassin|hitman,115,Action|Drama|Crime,StudioCanal|Silver Pictures|TF1 Films Production|Canal+|Instituto de la CinematografÃ­a y de las Artes Audiovisuales (ICAA),283,5.6,2015
1000000,62882090,Unfriended,Levan Gabriadze,computer|bullying|revenge|internet|violence,82,Horror|Thriller,Bazelevs Production|Blumhouse Productions,643,5.6,2015
35000000,51680201,Hot Pursuit,Anne Fletcher,texas|prisoner|cop|drug cartel|on the run,87,Action|Crime|Comedy,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Pacific Standard,472,5.5,2015
10000000,104303851,Insidious: Chapter 3,Leigh Whannell,sequel,97,Drama|Horror|Thriller,Sony Pictures,610,6.3,2015
0,118483,Z for Zachariah,Craig Zobel,love triangle|based on novel|jealousy|radiation|tractor,97,Drama|Science Fiction|Thriller,Palomar Pictures|Lucky Hat Entertainment|Silver Reel|Material Pictures|Zik Zak Kvikmyndir,181,5.5,2015
0,0,Dragonheart 3: The Sorcerer's Curse,Colin Teague,magic|wall|druid|knight|dragon,97,Action|Adventure|Fantasy,Raffaella Productions,59,4.5,2015
